NM_000015	NAT2
NM_001322051	ADA
NM_001322050	ADA
NM_000022	ADA
NM_001792	CDH2
NM_001308176	CDH2
NM_001206729,NM_181690	AKT3
NM_005465	AKT3
NM_001098405	GAGE12F
NM_001284211	MED6
NM_001284209	MED6
NM_001284210	MED6
NM_005466	MED6
NM_016346	NR2E3
NM_014249	NR2E3
NM_001351307	DUXB
NM_001351308	DUXB
NM_001351309	DUXB
NM_001084393	DDTL
NM_001098612	SIGLEC14
NM_005469	ACOT8
NM_005472	KCNE3
NM_001793	CDH3
NM_001317196	CDH3
NM_001317195	CDH3
NM_001199135,NM_004180	TANK
NM_133484	TANK
NM_001099415	POM121C
NM_001112734,NM_001166012	ZSCAN30
NM_001288711	ZSCAN30
NM_001253764	SRA1
NM_001035235	SRA1
NM_001100829	TMEM170B
NM_001103167	ZGLP1
NM_001257308	KIAA1024L
NM_001190972	C8orf88
NM_001167676	FAM229A
NM_001321551	LOC100128108
NM_001321552,NM_001321553	LOC100128108
NM_001129895	HGC6.3
NM_001139444	TRAPPC3L
NM_198495	CTAGE4
NM_001135580	C19orf71
NM_001134693	OST4
NM_001137601	ZBTB42
NM_001256795	LOC100129083
NM_001126063	KHDC1L
NM_001242853	DEFB131B
NM_001144064	CXorf51A
NM_001349118,NM_001349119	SMIM27
NM_001024679	C1orf68
NM_001306137	TDRD15
NM_001310140	LOC100129307
NM_001271592	SMIM10L1
NM_001271829	C9orf92
NM_001195272	TEX13C
NM_001277403	ZNF730
NM_001242936	FAM47E
NM_001136570	FAM47E
NM_001193502	TCF24
NM_001271706	IZUMO3
NM_001290330	LOC100129697
NM_001267044	COL4A2-AS2
NM_001159293	ZNF737
NM_001292023	LOC100129940
NM_001292024	LOC100129940
NM_001309426	FAM205C
NM_001309427	FAM205C
NM_001321230,NM_001321231	HDAC6
NM_001321226,NM_001321227,NM_001321228,NM_001321229,NM_006044	HDAC6
NM_001321225	HDAC6
NM_001162914	CCDC166
NM_001243237	C8orf89
NM_001136234	SUPT20HL1
NM_001282448	TMEM262
NM_001242631	TMEM262
NM_001242698	LOC100130357
NM_001145140	CXorf49
NM_001347841	LOC100130370
NM_001272086	LOC100130370
NM_001242575	LOC100130451
NM_001190844	TMEM221
NM_001324073	LOC100130520
NM_001324076	LOC100130520
NM_001258000	C10orf142
NM_001122716	PRR32
NM_001195150	LOC100130705
NM_181506	LRRC70
NM_001129890	LRRC69
NM_001199824	SBK3
NM_001243523	LOC100130880
NM_001195131	TSTD3
NM_001162997	SMIM6
NM_001348924	SYCE1L
NM_001129979	SYCE1L
NM_001195032,NM_001302839,NM_001302840,NM_001302841	C6orf99
NM_001161834	C7orf72
NM_001278559	ZNF316
NM_001310142	LOC100131107
NM_001128326	BSPH1
NM_001113206	TSTD1
NM_001113207	TSTD1
NM_001113205	TSTD1
NM_001190479	ANKRD63
NM_001282442	LOC100131303
NM_001166692	C11orf91
NM_001145250	SP9
NM_001115152	CD300LD
NM_001278713	ZNF705E
NM_001282479	PRR23D1
NM_001256155	ARMCX4
NM_001171155	PET100
NM_001324028	ZNF717
NM_001290210,NM_001324026	ZNF717
NM_001128223,NM_001290208	ZNF717
NM_001324027	ZNF717
NM_001290209	ZNF717
NM_001129891,NM_001346304	FAM196B
NM_001128598	KRTAP25-1
NM_001164457	ZNF705G
NM_001291281	FOXO6
NM_001195442	FAM240A
NM_001135865	NPIPB5
NM_001291701	KIR2DS2
NM_001291696	KIR2DS2
NM_001291695	KIR2DS2
NM_012312	KIR2DS2
NM_001291700	KIR2DS2
NM_001146041	KRTAP4-9
